date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:51:29	121999/121999	---M--	200	added ('OK')	image/jpeg	etag:%22135219c0-1dc8f-5b24082bcb0af%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/5.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/5.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:51:31	107406/107406	---M--	200	added ('OK')	image/jpeg	etag:%22135219c1-1a38e-5b24082cd1fb6%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/6.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/6.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:51:39	122267/122267	---M--	200	added ('OK')	image/jpeg	etag:%22135219c2-1dd9b-5b24082e500fd%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/7.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/7.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:51:44	77119/77119	---M--	200	added ('OK')	image/jpeg	etag:%22135219bc-12d3f-5b240826d8afc%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/10.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/10.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:51:46	103014/103014	---M--	200	added ('OK')	image/jpeg	etag:%22135219c4-19266-5b24083138b09%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/9.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/9.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:52:05	157145/157145	---M--	200	added ('OK')	image/jpeg	etag:%22135219b4-265d9-5b24082271bc1%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/02.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/02.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:52:05	119011/119011	---M--	200	added ('OK')	image/jpeg	etag:%221352042d-1d0e3-5b24082391550%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/03.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/03.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:52:11	275734/275734	---M--	200	added ('OK')	image/jpeg	etag:%22135219c3-43516-5b2408323bf78%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/8.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/8.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:52:12	450/450	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Dec%202020%2020:52:14%20GMT	http://page-flip.info/jquery_newspaper_flipbook/load_book_lightbox('your_book_name',true)	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/load_book_lightbox('your_book_name',true).44.delayed	(from http://page-flip.info/jquery_newspaper_flipbook/lightbox-autostart.html)
02:52:12	174919/174919	---M--	200	added ('OK')	image/jpeg	etag:%22135219b3-2ab47-5b2408200bf74%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/01.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/01.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:52:12	1929/1929	---M--	200	added ('OK')	text/css	etag:%2213520b4f-789-5b24080218bcb%22	http://page-flip.info/jquery_newspaper_flipbook/css/reset.css	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/css/reset.css	(from http://page-flip.info/jquery_newspaper_flipbook/css/style.css)
02:52:13	6253/6253	---M--	200	added ('OK')	text/css	etag:%2213520b50-186d-5b24080240883%22	http://page-flip.info/jquery_newspaper_flipbook/css/static.css	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/css/static.css	(from http://page-flip.info/jquery_newspaper_flipbook/css/style.css)
02:52:13	43250/43250	---M--	200	added ('OK')	image/jpeg	etag:%22135219b7-a8f2-5b240822f8800%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/04.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/04.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:52:13	49360/49360	---M--	200	added ('OK')	image/jpeg	etag:%2213521898-c0d0-5b2408238dab8%22	http://page-flip.info/jquery_newspaper_flipbook/img_bookshelf/05.jpg	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img_bookshelf/05.jpg	(from http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html)
02:52:13	4223/4223	---M--	200	added ('OK')	text/css	etag:%2213520b1b-107f-5b240801a5424%22	http://page-flip.info/jquery_newspaper_flipbook/css/elements.css	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/css/elements.css	(from http://page-flip.info/jquery_newspaper_flipbook/css/style.css)
02:52:14	355/355	---M--	200	added ('OK')	text/css	etag:%2213520b30-163-5b240801f74a3%22	http://page-flip.info/jquery_newspaper_flipbook/css/preloader.css	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/css/preloader.css	(from http://page-flip.info/jquery_newspaper_flipbook/css/style.css)
02:52:14	428/428	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Dec%202020%2020:52:16%20GMT	http://page-flip.info/jquery_newspaper_flipbook/img/arrow-right.png	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img/arrow-right.49.delayed	(from http://page-flip.info/jquery_newspaper_flipbook/css/style.css)
02:52:14	3166/3166	---M--	200	added ('OK')	image/png	etag:%2213520dfb-c5e-5b240809eed6b%22	http://page-flip.info/jquery_newspaper_flipbook/img/arrow-navpage.png	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img/arrow-navpage.png	(from http://page-flip.info/jquery_newspaper_flipbook/css/style.css)
02:52:15	1849/1849	---M--	200	added ('OK')	image/gif	etag:%221352167b-739-5b2408122e68a%22	http://page-flip.info/jquery_newspaper_flipbook/img/loader.gif	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img/loader.gif	(from http://page-flip.info/jquery_newspaper_flipbook/css/style.css)
02:52:19	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2213520bb6-dac6-5b240803d12a9%22	http://page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont.eot?v=4.2.0	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont78ce.eot	(from http://page-flip.info/jquery_newspaper_flipbook/css/font-awesome.min.css)
02:52:24	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%2213520bb7-4611f-5b240808988dc%22	http://page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont.svg?v=4.2.0	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont78ce.svg	(from http://page-flip.info/jquery_newspaper_flipbook/css/font-awesome.min.css)
02:52:28	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2213520bb6-dac6-5b240803d12a9%22	http://page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont.eot?	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfontd41d.eot	(from http://page-flip.info/jquery_newspaper_flipbook/css/font-awesome.min.css)
02:52:29	65452/65452	---M--	200	added ('OK')	text/plain	etag:%2213520dcd-ffac-5b240806b75a6%22	http://page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont.woff?v=4.2.0	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont78ce.woff	(from http://page-flip.info/jquery_newspaper_flipbook/css/font-awesome.min.css)
02:52:30	46763/46763	---M--	200	added ('OK')	image/png	etag:%2213521493-b6ab-5b240812109fa%22	http://page-flip.info/jquery_newspaper_flipbook/img/icons.png	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/img/icons.png	(from http://page-flip.info/jquery_newspaper_flipbook/css/static.css)
02:52:32	112160/112160	---M--	200	added ('OK')	text/plain	etag:%2213520bb8-1b620-5b240805ff83f%22	http://page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont.ttf?v=4.2.0	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/fonts/fontawesome-webfont78ce.ttf	(from http://page-flip.info/jquery_newspaper_flipbook/css/font-awesome.min.css)
